LOGRECNO,GEOID,Population 15 years and over in the United States,Median income 
10994,86000US02199,1235,88000
10995,86000US02203,0,.
10996,86000US02210,1802,63568
10997,86000US02215,23923,7395
10998,86000US02301,46324,23553
10999,86000US02302,27482,26202
11000,86000US02322,3750,33822
11001,86000US02324,22252,28698
11002,86000US02330,9470,32096
11003,86000US02332,11772,48537
11004,86000US02333,11502,35505
11005,86000US02338,6339,31654
11006,86000US02339,11006,41343
11007,86000US02341,8344,38578
11008,86000US02343,9096,34847
11009,86000US02346,18931,33684
11010,86000US02347,8608,38379
11011,86000US02351,12758,36764
11012,86000US02356,10343,35104
11013,86000US02357,959,3047
11014,86000US02359,14114,38717
11015,86000US02360,46820,34631
11016,86000US02364,10361,32641
11017,86000US02366,149,7500
11018,86000US02367,2340,37889
11019,86000US02368,26996,31025
11020,86000US02370,14535,32028
11021,86000US02375,7811,40725
11022,86000US02379,5620,33267
11023,86000US02382,11769,36701
11024,86000US02420,11415,57548
11025,86000US02421,14092,65174
11026,86000US02445,17247,50321
11027,86000US02446,25062,49113
11028,86000US02451,14951,42023
11029,86000US02452,13437,22827
11030,86000US02453,25533,30232
11031,86000US02457,1343,2499
11032,86000US02458,9479,49712
11033,86000US02459,15141,52269
11034,86000US02460,7000,60073
11035,86000US02461,5265,55793
11036,86000US02462,1181,48241
11037,86000US02464,2454,43469
11038,86000US02465,9126,59295
11039,86000US02466,7482,38427
11040,86000US02467,20103,19996
11041,86000US02468,4385,69875
11042,86000US02472,28354,43993
11043,86000US02474,22169,48377
11044,86000US02476,13497,51777
11045,86000US02478,19666,52158
11046,86000US02481,12229,51552
11047,86000US02482,8580,51804
11048,86000US02492,15551,57922
11049,86000US02493,8938,60922
11050,86000US02494,7186,50164
11051,86000US02532,9793,30018
11052,86000US02534,1200,33250
11053,86000US02535,1090,32381
11054,86000US02536,16306,32249
11055,86000US02537,4802,35367
11056,86000US02538,2589,26726
11057,86000US02539,3759,30717
11058,86000US02540,7754,31467
11059,86000US02542,791,23650
11060,86000US02543,663,31156
11061,86000US02553,197,41054
11062,86000US02554,8030,41676
11063,86000US02556,2530,38802
11064,86000US02557,3711,41822
11065,86000US02558,1401,26064
11066,86000US02559,3612,29134
11067,86000US02561,459,31023
11068,86000US02562,2803,32964
11069,86000US02563,8121,36913
11070,86000US02564,347,39844
11071,86000US02568,3256,32289
11072,86000US02571,9034,28428
11073,86000US02575,2189,32332
11074,86000US02576,4062,31385
11075,86000US02584,0,.
11076,86000US02601,11833,24192
11077,86000US02630,1808,30259
11078,86000US02631,8226,32484
11079,86000US02632,9724,34015
11080,86000US02633,3348,34312
11081,86000US02635,2945,36221
11082,86000US02637,69,.
11083,86000US02638,2891,28351
11084,86000US02639,2664,26250
11085,86000US02641,330,34333
11086,86000US02642,4543,27336
11087,86000US02643,17,.
11088,86000US02644,3344,30335
11089,86000US02645,8108,29002
11090,86000US02646,1785,35586
11091,86000US02647,117,66350
11092,86000US02648,5875,36394
11093,86000US02649,12012,29135
11094,86000US02650,1192,28125
11095,86000US02651,26,.
11096,86000US02652,1045,29783
11097,86000US02653,5595,30788
11098,86000US02655,3336,30606
11099,86000US02657,2846,27067
11100,86000US02659,717,33403
11101,86000US02660,5207,26012
11102,86000US02663,106,21814
11103,86000US02664,8463,28336
11104,86000US02666,579,27750
11105,86000US02667,2733,28641
11106,86000US02668,2312,39470
11107,86000US02669,193,41394
11108,86000US02670,1176,24438
11109,86000US02671,818,29438
11110,86000US02672,150,32250
11111,86000US02673,7172,28476
11112,86000US02675,5763,32144
11113,86000US02702,3582,35246
11114,86000US02703,35313,31690
11115,86000US02713,114,16875
11116,86000US02715,2546,30509
11117,86000US02717,3679,32279
11118,86000US02718,5786,32155
11119,86000US02719,13783,27898
11120,86000US02720,26014,24200
11121,86000US02721,21020,17769
11122,86000US02723,11457,18728
11123,86000US02724,14098,18320
11124,86000US02725,2494,25045
11125,86000US02726,12976,32975
11126,86000US02738,4123,40309
11127,86000US02739,4781,37139
11128,86000US02740,35436,19727
11129,86000US02743,8717,31541
11130,86000US02744,9226,18782
11131,86000US02745,20610,25745
11132,86000US02746,11402,16526
11133,86000US02747,19702,23353
11134,86000US02748,10577,30319
11135,86000US02760,20795,37147
11136,86000US02762,6796,39405
11137,86000US02763,1386,39113
11138,86000US02764,3224,34483
11139,86000US02766,16093,30505
11140,86000US02767,10719,37595
11141,86000US02769,9672,35656
11142,86000US02770,4337,39211
11143,86000US02771,11526,34181
11144,86000US02777,13636,32053
11145,86000US02779,5035,35682
11146,86000US02780,40608,26158
11147,86000US02790,13482,32761
11148,86000US02791,80,70625
11149,86000US02802,838,38509
